product_id,product_name,set_code,snapshot_date,printing,market_price,low_price
651175,DON!! Card (3D) (Double Pack Set Vol. 8),OP12,2026-05-04,Foil,1.61,0.99
652643,Carrying On His Will Sleeved Booster Pack,OP13,2026-05-04,Normal,27.5,25.0
657211,Premium Booster Vol. 2 - Sleeved Booster Pack,PRB-02,2026-05-04,Normal,20.64,19.99
657218,One Piece Tin Pack Set Vol. 2 Display,OP-PR,2026-05-04,Normal,444.59,700.0
657219,One Piece Tin Pack Set Vol. 2 Display Case,OP-PR,2026-05-04,Normal,2013.59,2999.99
659940,Starter Decks 23-28 [Set of 6],ST-23,2026-05-04,Normal,161.22,174.99
665598,The Azure Sea's Seven Booster Box,OP14,2026-05-04,Normal,238.3,248.88
665599,The Azure Sea's Seven Booster Box Case,OP14,2026-05-04,Normal,2531.33,2589.69
666576,The Azure Sea's Seven Sleeved Booster Pack,OP14,2026-05-04,Normal,9.01,7.77
666577,The Azure Sea's Seven Booster Pack,OP14,2026-05-04,Normal,6.94,5.88
666578,Double Pack Set Vol. 9,OP14,2026-05-04,Normal,35.45,25.0
666579,Double Pack Set Vol. 9 Display,OP14,2026-05-04,Normal,263.38,215.89
666892,Extra Booster: One Piece Heroines Edition Box Case,EB-03,2026-05-04,Normal,3848.91,3900.69
669273,One Piece Tin Pack Set Vol. 2 -Monkey.D.Luffy-,OP-PR,2026-05-04,Normal,44.61,42.97
669277,One Piece Tin Pack Set Vol. 2 -Portgas.D.Ace-,OP-PR,2026-05-04,Normal,36.03,32.69
669278,One Piece Tin Pack Set Vol. 2 -Sabo-,OP-PR,2026-05-04,Normal,32.65,35.0
669279,Monkey.D.Luffy (Tin Pack Set Vol. 2),OP-PR,2026-05-04,Foil,15.79,8.92
669293,Portgas.D.Ace (Tin Pack Set Vol. 2),OP-PR,2026-05-04,Foil,1.18,0.55
669296,Sabo (Tin Pack Set Vol. 2),OP-PR,2026-05-04,Foil,1.22,0.48
669298,One Piece Tin Pack Set Vol. 2 [Set of 3],OP-PR,2026-05-04,Normal,108.28,130.0
671419,Miss.Valentine(Mikita),OP14,2026-05-04,Foil,0.22,0.05
671479,Starter Deck 29: Egghead,ST-29,2026-05-04,Normal,29.69,28.0
671480,Starter Deck 29: Egghead Display,ST-29,2026-05-04,Normal,183.94,183.94
672377,Miss.Valentine(Mikita) (Dash Pack),OP14,2026-05-04,Foil,4.35,2.75
672601,One Piece Card Game Illustration Box Vol. 5 Case,OP-PR,2026-05-04,Normal,456.59,795.0
672604,One Piece Card Game Illustration Box Vol. 6 Case,OP-PR,2026-05-04,Normal,452.01,695.95
672736,DON!! Card (Donquixote Doflamingo) (Double Pack Set Vol. 9),OP14,2026-05-04,Foil,3.55,2.74
672738,DON!! Card (Crocodile) (Double Pack Set Vol. 9),OP14,2026-05-04,Foil,3.1,2.0
672798,Miss.Valentine(Mikita),EB-03,2026-05-04,Normal,0.06,0.01
672894,Starter Deck 29: Egghead Bonus Pack,ST-29,2026-05-04,Normal,29.36,28.05
679503,Extra Booster: One Piece Heroines Edition Sleeved Booster Pack,EB-03,2026-05-04,Normal,12.94,12.89
680488,One Piece Japanese Version 3rd Anniversary Set (Sealed Promotional Bundle),OP-CS,2026-05-04,Normal,677.57,710.61
682056,Adventure on Kami's Island Booster Pack,OP15-EB04,2026-05-04,Normal,6.44,5.8
682057,Adventure on Kami's Island Booster Box,OP15-EB04,2026-05-04,Normal,202.54,198.52
682058,Adventure on Kami's Island Booster Box Case,OP15-EB04,2026-05-04,Normal,2295.0,2337.67
682789,Double Pack Set Vol. 10,OP15-EB04,2026-05-04,Normal,24.48,18.0
682790,Double Pack Set Vol. 10 Display,OP15-EB04,2026-05-04,Normal,242.71,241.53
688634,Adventure on Kami's Island - Sleeved Booster Pack,OP15-EB04,2026-05-04,Normal,9.7,9.0
689336,The Time of Battle Booster Box,OP16,2026-05-04,Normal,276.73,275.0
689338,The Time of Battle Booster Box Case,OP16,2026-05-04,Normal,3949.98,3500.0
689341,The Time of Battle Booster Pack,OP16,2026-05-04,Normal,14.98,9.99
689810,DON!! Card (Enel Lightning) (Double Pack Set Vol. 10),OP15-EB04,2026-05-04,Foil,3.84,3.25
689811,DON!! Card (Sky Island Map) (Double Pack Set Vol. 10),OP15-EB04,2026-05-04,Foil,1.34,0.75
692138,Starter Deck EX: Luffy & Ace,ST-30,2026-05-04,Normal,94.49,89.98
